date,SPRING,SUMMER,FALL,WINTER,modal_season,confidence,liquidity_z,growth_z,inflation_z,liquidity_pillar_z
1996-06-30,0.2760127113413566,0.585903356758995,0.09386510149740585,0.04421883040224256,SUMMER,0.2580841026483257,-0.8077932705367871,1.3734721460110206,0.564530951646328,-0.8077932705367871
1996-07-31,0.28975010987580935,0.5546333961973539,0.10221671066545905,0.053399783261377794,SUMMER,0.22423999916252824,-0.7705410702571202,1.2684091306849339,0.4869663650009529,-0.7705410702571202
1996-08-31,0.2741086057117414,0.5292605289180006,0.12954064491839162,0.06709022045186647,SUMMER,0.1794501426748787,-0.17906629775872565,1.0556145836869781,0.4934673035906689,-0.17906629775872565
1996-09-30,0.2448176470854062,0.43725869714518295,0.20381132506535005,0.11411233070406078,SUMMER,0.07804969663608552,0.023662208592593496,0.5724977366288156,0.43500852633657217,0.023662208592593496
1996-10-31,0.18971755377874724,0.39142902255356254,0.28211709901859067,0.13673632464909954,SUMMER,0.05391085068217372,-0.022947358257045462,0.24561148000544375,0.5432008468193606,-0.022947358257045462
1996-11-30,0.16918112819289302,0.3945622602461923,0.305334657992923,0.13092195356799172,SUMMER,0.06516953534098224,-0.014009440124781143,0.19227640056119355,0.635105282275793,-0.014009440124781143
1996-12-31,0.12571592804739606,0.4274017394685211,0.34531221376317833,0.10157011872090449,SUMMER,0.11745314136731777,-0.002347670449656803,0.15995657815221118,0.9177746928120116,-0.002347670449656803
1997-01-31,0.1390070667292203,0.4725881838623243,0.30012576936937513,0.08827898003908025,SUMMER,0.131493726611852,0.04325438203438059,0.34051705799878546,0.9177746928120116,0.04325438203438059
1997-02-28,0.30377560749479743,0.34343373820245643,0.1872040538591943,0.16558660044355183,SUMMER,0.03308722782417861,0.17776455225640883,0.4550962290971615,0.09202867166876579,0.17776455225640883
1997-03-31,0.38320326832025864,0.2618736491671655,0.14408359727588485,0.21083948523669102,SPRING,0.04364151542334693,0.30651675959471625,0.44810134843775445,-0.28552758204617973,0.30651675959471625
1997-04-30,0.3978462526163261,0.2718803794049252,0.13407686703812516,0.1961965009406236,SPRING,0.055232852101110175,0.39276398360086995,0.5302116883993686,-0.28552758204617973,0.39276398360086995
1997-05-31,0.4639691676315635,0.15848172445580452,0.09612747680076596,0.281421631111866,SPRING,0.11260261943160021,0.47161086295079446,0.374973067199779,-0.8056341130477833,0.47161086295079446
1997-06-30,0.5115156581086017,0.08727628541430521,0.058477655263031975,0.3427304012140612,SPRING,0.21461769442629275,0.37957300512738823,0.30032554593626665,-1.3262245618923738,0.37957300512738823
1997-07-31,0.5468916023064172,0.13696835822179762,0.0633187855320244,0.25282125393976074,SPRING,0.18868179628188542,0.35418100567134475,0.57867591171507,-1.0383755084149495,0.35418100567134475
1997-08-31,0.4418792469781103,0.2257273910056483,0.11238696880264908,0.22000639321359228,SPRING,0.07982208493684062,0.3235144571811253,0.5230350314089645,-0.5037814583796744,0.3235144571811253
1997-09-30,0.33724931277773684,0.3577557183991782,0.15699698460407632,0.14799798421900864,SUMMER,0.056658397900318125,0.37246351954724,0.6177178528745432,0.044270958968155895,0.37246351954724
1997-10-31,0.2704109039809703,0.3435376280401063,0.21601681361513134,0.1700346543637921,SUMMER,0.024026974863140538,0.1374162000778161,0.3479553024409199,0.1795154849931791,0.1374162000778161
1997-11-30,0.30821766774935755,0.2912626737609929,0.19459591674286944,0.2059237417467801,SPRING,0.014661666030047704,-0.05439348162861195,0.3024752492118308,-0.042435545886585053,-0.05439348162861195
1997-12-31,0.39689654814109504,0.2627444255204157,0.1355698636329455,0.20478916270554376,SPRING,0.052441086897281775,0.09992646643906115,0.4962710155600613,-0.3093704018076611,0.09992646643906115
1998-01-31,0.4450039834825941,0.19477398891898826,0.10966598451093552,0.2505560430874821,SPRING,0.08524095127124975,0.34855526340562787,0.430800460027567,-0.619682533942105,0.34855526340562787
1998-02-28,0.5412062222758605,0.16430338901854916,0.06858272108999938,0.22590766761559103,SPRING,0.17127001799545738,0.6628506728198172,0.6552555209962241,-0.8940643061766925,0.6628506728198172
1998-03-31,0.5658981045055947,0.12920604884435405,0.056674078934576835,0.24822176771547436,SPRING,0.21001676545889203,0.7602387385693631,0.6180685975331707,-1.1077542200157664,0.7602387385693631
1998-04-30,0.5597448002926728,0.13307573772304063,0.059002485165932705,0.24817697681835388,SPRING,0.2021552440872526,0.8608865773073566,0.6100041436739889,-1.077421907542446,0.8608865773073566
1998-05-31,0.45922737308824907,0.19900910063228755,0.10332768649139228,0.2384358397880711,SPRING,0.09468753490424542,0.885959261436747,0.49158389627922827,-0.6271461735848858,0.885959261436747
1998-06-30,0.3445851859026144,0.31036228576980124,0.16351126774936525,0.18154126057821912,SPRING,0.03619933919559015,0.8079891849525901,0.4806437812768797,-0.0784507912632176,0.8079891849525901
1998-07-31,0.2907532383943751,0.34823575649170774,0.1967435143231053,0.16426749079081185,SUMMER,0.031163115805077357,0.6867028578646049,0.42823409166030596,0.13530358663181985,0.6867028578646049
1998-08-31,0.20094470410573334,0.23098161116669147,0.30378925830674314,0.264284426420832,FALL,0.0084519418001755,0.5106096390624595,-0.20549709730759533,0.10448125181599177,0.5106096390624595
1998-09-30,0.17690042565877215,0.21939772687349443,0.3342201123003359,0.2694817351673975,FALL,0.019783589630798737,0.30004400208922966,-0.31568520573335596,0.16147438482287074,0.30004400208922966
1998-10-31,0.22694528710923384,0.18954410195661878,0.26555537220225184,0.3179552387318957,WINTER,0.013021173592624558,0.22629898755206268,-0.25290123876640624,-0.13506542777301178,0.22629898755206268
1998-11-30,0.31956912805610294,0.15899401260038346,0.173238035990483,0.34819882335303054,WINTER,0.042067872694877995,0.3751195846070798,-0.06435002583276304,-0.523580301560614,0.3751195846070798
1998-12-31,0.3213767809190679,0.18966915669430723,0.18146999682304027,0.3074840655635846,SPRING,0.024404666014778198,0.6877624948934348,0.0331432053996769,-0.39549969998877127,0.6877624948934348
1999-01-31,0.29942865251545503,0.3008919402362843,0.20032681499092012,0.19935259225734056,SUMMER,0.014620767543261581,0.9163690131141953,0.30510081742497114,0.0036562729228209693,0.9163690131141953
1999-02-28,0.328502459650043,0.42140856464213206,0.14053618745681273,0.10955278825101224,SUMMER,0.09984053093636536,0.9191241683265191,0.8236033558803729,0.1867938750039857,0.9191241683265191
1999-03-31,0.2926416232982422,0.4741261723712817,0.14421770572193646,0.08901449860853965,SUMMER,0.12859667774209982,0.8941307746155097,0.8926121021485226,0.36189355575098864,0.8941307746155097
1999-04-30,0.16823403091534395,0.5466774821166204,0.21800104403851506,0.06708744292952062,SUMMER,0.17526748822706228,0.6856812200839774,0.6895193732767324,0.8838772238473229,0.6856812200839774
1999-05-31,0.06800857798689092,0.5845700425563293,0.31121480873058677,0.036206570726193106,SUMMER,0.2930196721149688,0.43432152577572547,0.472794922464417,1.6134320722001387,0.43432152577572547
1999-06-30,0.06266255087749115,0.5875432354751512,0.31608335137975907,0.03371086226759858,SUMMER,0.30436142315623993,0.1615780445147851,0.46495791496041067,1.6786393808178959,0.1615780445147851
1999-07-31,0.07616027252332884,0.5465116027104004,0.33117634891782927,0.046151775848441504,SUMMER,0.25394822758730695,-0.1256314794398364,0.3756783964839737,1.478036677168196,-0.1256314794398364
1999-08-31,0.10073379548853277,0.528369871314648,0.31150740042274916,0.059388932774070105,SUMMER,0.20701954275296608,-0.36842215177028115,0.39628009274456194,1.2429864024353336,-0.36842215177028115
1999-09-30,0.09503331527592472,0.48592031869227226,0.35049809799478626,0.06854826803701676,SUMMER,0.1880917349332486,-0.5501701882718999,0.24501703292930765,1.223862854933561,-0.5501701882718999
1999-10-31,0.0892321551715556,0.487797114251038,0.35756228101699394,0.06540844956041246,SUMMER,0.19792813028091716,-0.585286362067908,0.23294250774302916,1.2739935834798897,-0.585286362067908
1999-11-30,0.07631271463698003,0.5379770892562487,0.33779373722772127,0.04791645887905011,SUMMER,0.24831407599976052,-0.5004144233506121,0.3490353824325255,1.464732307317517,-0.5004144233506121
1999-12-31,0.09916747363840366,0.5026563577855627,0.3325653990468895,0.0656107695291442,SUMMER,0.19225361055026247,-0.4408391208862677,0.3098026662654874,1.2173225081180596,-0.4408391208862677
2000-01-31,0.14029078998683295,0.4580042507798271,0.3075114556397628,0.09419350359357716,SUMMER,0.1211569516348111,-0.36670263455074137,0.2987745934380538,0.8873708440772077,-0.36670263455074137
2000-02-29,0.12645692438455272,0.45610996110080243,0.3268215313419968,0.09061158317264803,SUMMER,0.13249124449166638,-0.2739878451315479,0.24998975776059879,0.9621241437977478,-0.2739878451315479
2000-03-31,0.12526154958539829,0.5386286287561345,0.27269325297690344,0.06341656868156384,SUMMER,0.19012734280464016,-0.411765493783383,0.5105090887500289,1.09396678876073,-0.411765493783383
2000-04-30,0.07428720157579746,0.582729883498739,0.3042027347491261,0.038780180176337366,SUMMER,0.28162803733102393,-0.4971576968786285,0.4875220407103078,1.5448388053777198,-0.4971576968786285
2000-05-31,0.12552298885741964,0.46821179037234617,0.32037565094234854,0.08588956982788565,SUMMER,0.1406640658294469,-0.46484457857249134,0.2845698904390361,0.9873238628533644,-0.46484457857249134
2000-06-30,0.16256718306270354,0.34900344485836826,0.3332160294626137,0.1552133426163145,SUMMER,0.0492174085341911,-0.40491252227624347,0.03471808203121255,0.5729928316849746,-0.40491252227624347
2000-07-31,0.18846935039853613,0.22653085099598852,0.31932635638554335,0.265673442219932,FALL,0.013512304823933952,-0.3024379316217113,-0.2574993730867957,0.13795931011729706,-0.3024379316217113
2000-08-31,0.11014912147688559,0.2634305948139899,0.4417217015405541,0.1846985821685704,FALL,0.08585881256969641,-0.12360464216352197,-0.3876675849413306,0.6539661288578752,-0.12360464216352197
2000-09-30,0.0798880542666848,0.18539641898828577,0.5134624954197855,0.22125303132524382,FALL,0.14135112274965544,0.07256382451978317,-0.7640104887424937,0.6314025036336343,0.07256382451978317
2000-10-31,0.12036732718274479,0.20517853833232635,0.42508146514736034,0.24937266933756852,FALL,0.06960851219592534,0.06717382740341356,-0.5463002358391922,0.39999929375221216,0.06717382740341356
2000-11-30,0.11452668946583582,0.15710899595771263,0.4212722859888775,0.30709202858757406,FALL,0.08699906035370386,-0.011489043765211744,-0.7397546838367338,0.23709893597973805,-0.011489043765211744
2000-12-31,0.09886828680974431,0.09010565372152295,0.3867095805282716,0.42431647894046115,WINTER,0.15111573406090417,-0.02561875836455225,-1.0925182960100686,-0.06960421200088808,-0.02561875836455225
2001-01-31,0.06899408542268476,0.07605988641680117,0.44829587890459005,0.4066501492559241,FALL,0.20219455559327937,0.3466394248970299,-1.3304493369293406,0.0731251700630789,0.3466394248970299
2001-02-28,0.06145965799270245,0.07616005970891965,0.47724944425507493,0.385130838043303,FALL,0.21513777847571136,0.7434362424219507,-1.3764015927418645,0.16084213687703236,0.7434362424219507
2001-03-31,0.07732325436278721,0.07445161193717244,0.41608818396045855,0.43213694973958183,WINTER,0.19299705066579342,0.9538220111687581,-1.2905608562275928,-0.028383999616027854,0.9538220111687581
2001-04-30,0.10456078372908237,0.048413559229960344,0.26806800423668303,0.5789576528042744,WINTER,0.241126006090849,1.0723073580461884,-1.283595578705155,-0.5774914806874878,1.0723073580461884
2001-05-31,0.10354700986712984,0.026572725904261157,0.17764476459961687,0.6922354996289921,WINTER,0.35597511450748376,1.2083647334628294,-1.4249253779279294,-1.0201052725364566,1.2083647334628294
2001-06-30,0.08720440618050365,0.05249144457769858,0.32326377143480384,0.537040377806994,WINTER,0.23078473307537162,1.3289904595586315,-1.3633638179233176,-0.38070349750349425,1.3289904595586315
2001-07-31,0.07743725220944774,0.0755515941423695,0.4182856753317008,0.42872547831648206,WINTER,0.19141998055023968,1.3902055546506151,-1.2835116329305134,-0.018489127886607743,1.3902055546506151
2001-08-31,0.12908861197370894,0.0652749027828485,0.27056437685050283,0.5350721083929397,WINTER,0.18435385580479535,1.234481261604934,-1.0664268275908881,-0.5114185933740497,1.234481261604934
2001-09-30,0.0979861373721701,0.0227382687298097,0.1656102969330601,0.7136652969649601,WINTER,0.3852782271344203,1.0474758891125422,-1.4891910505463999,-1.0955824958313303,1.0474758891125422
2001-10-31,0.049134578366385934,0.007419635134644256,0.12377545494487918,0.8196703315540906,WINTER,0.5628407948383749,1.123056865951698,-2.1107543955590526,-1.4178248609325794,1.123056865951698
2001-11-30,0.04591679245787377,0.004810114555939254,0.0900136158684182,0.8592594771177688,WINTER,0.6290770546275716,0.9924085700245163,-2.1969300347075174,-1.6920824991584442,0.9924085700245163
2001-12-31,0.07981751749184395,0.007073146309514329,0.07432968801206859,0.8387796481865731,WINTER,0.5834459076106431,0.8668963738819738,-1.7641537784367474,-1.8175781957471544,0.8668963738819738
2002-01-31,0.14882553249529318,0.009416095944715038,0.050088448071557025,0.7916699234884348,WINTER,0.5222193380366292,0.7934285194184046,-1.25352738348224,-2.070265603186927,0.7934285194184046
2002-02-28,0.20808854660891768,0.015506313571374525,0.053843731232299644,0.7225614085874082,WINTER,0.43491452512713236,0.7180087251925589,-0.9336290377455889,-1.9475373193423688,0.7180087251925589
2002-03-31,0.27403692437544963,0.05268655580037628,0.10857077340052189,0.5647057464236522,WINTER,0.22557364880831843,0.5803220615106021,-0.5422814511664009,-1.236676907215191,0.5803220615106021
2002-04-30,0.18860661779967744,0.14392754720993045,0.288892783313918,0.3785730516764741,WINTER,0.04778347550474338,0.3863459167092824,-0.5225591990277009,-0.20276507255890466,0.3863459167092824
2002-05-31,0.08542144562438965,0.2525731054969382,0.4946966497668784,0.1673087991117938,FALL,0.13076823063390197,0.2723427943453331,-0.50418300932057,0.8130776584038096,0.2723427943453331
2002-06-30,0.06510149953809206,0.21585808659301395,0.5524306540242457,0.1666097598446482,FALL,0.18113123631696326,0.33348402656579706,-0.7047800453919103,0.8990052014388372,0.33348402656579706
2002-07-31,0.09073872421736726,0.20332871176087722,0.4881069485137265,0.21782561550802906,FALL,0.11728655020309908,0.2192903008286586,-0.6567829495771174,0.6051297936144057,0.2192903008286586
2002-08-31,0.09132233158422344,0.2047956554062145,0.4868058831819417,0.21707612982762034,FALL,0.11609511943616335,0.14812890009895316,-0.6493895755168461,0.6057129943095863,0.14812890009895316
2002-09-30,0.055429594953470634,0.20388107818836856,0.5823614459550498,0.15832788090311103,FALL,0.2128458596267926,0.08420182265584919,-0.7871658167394832,0.976817413314661,0.08420182265584919
2002-10-31,0.06586404488043032,0.17229267333936982,0.551149749898748,0.21069353188145187,FALL,0.17866036768847238,0.1385299317019322,-0.8721089480215148,0.7212014463949514,0.1385299317019322
2002-11-30,0.06290040086579145,0.2157217307441342,0.5585230483681985,0.16285482002187573,FALL,0.18794772061352782,0.4639657517551076,-0.7134799443426045,0.9243275675927651,0.4639657517551076
2002-12-31,0.042815007917179786,0.16180614748970246,0.6289534744465358,0.16642537014658196,FALL,0.26444854172339405,0.680045945512522,-1.0182437161459272,0.9971327286617923,0.680045945512522
2003-01-31,0.02374264937523911,0.17152350011086243,0.7068852797123447,0.0978485708015537,FALL,0.3768618471021906,0.6960368203068736,-1.0621110788519597,1.48308547613884,0.6960368203068736
2003-02-28,0.027677042965817997,0.15456109501192306,0.6935659585623484,0.12419590345991058,FALL,0.35027178542667403,0.5964745636698562,-1.1259426673257076,1.2899896195277607,0.5964745636698562
2003-03-31,0.03898308630580083,0.16101333473374219,0.6440677457017264,0.1559358332587305,FALL,0.28321513715458424,0.7241019477377441,-1.0397375473296404,1.0637694887948965,0.7241019477377441
2003-04-30,0.06061885459107438,0.15231681052366178,0.5630016423132028,0.22406269257206105,FALL,0.1955957995561981,0.749065396130248,-0.980489935275575,0.6910174912199466,0.749065396130248
2003-05-31,0.09115830842006516,0.0898445871459012,0.4065264066162257,0.41247069781780793,WINTER,0.15888595064171396,0.7514425409377382,-1.1321756397130123,-0.01088720989115641,0.7514425409377382
2003-06-30,0.24845041380115274,0.09080887433429241,0.17685918225267439,0.48388152961188047,WINTER,0.11889668182956659,0.7537670561902705,-0.4999476147357631,-0.7548647008403849,0.7537670561902705
2003-07-31,0.3985314334567991,0.09989297960107607,0.10052453002335093,0.40105105691877396,WINTER,0.1386224171273971,0.6478424226534063,-0.004726776471883816,-1.0377652242282707,0.6478424226534063
2003-08-31,0.39368963909697696,0.1944089853036767,0.13616309433994409,0.27573828125940225,SPRING,0.053501057615480296,0.5230803385577428,0.26708304099441466,-0.5291990769007257,0.5230803385577428
2003-09-30,0.33605528863963635,0.24680961638348298,0.176632615695481,0.24050247928139973,SPRING,0.01844137534191337,0.431428385374407,0.25090897319557115,-0.2314938303002439,0.431428385374407
2003-10-31,0.24617063877585155,0.3229570144795324,0.24450269799838564,0.1863696487462304,SUMMER,0.013501742182737808,0.3002992357652396,0.20871966648560178,0.20362071242507912,0.3002992357652396
2003-11-30,0.26227421211783025,0.3572978038784987,0.21938706027555913,0.16104092372811193,SUMMER,0.029345577152316227,0.1998198952591441,0.3657990376879438,0.23188428824432522,0.1998198952591441
2003-12-31,0.33086019269061684,0.34767074505230144,0.16471671690897893,0.15675234534810278,SUMMER,0.04723547315463261,-0.1047795616146796,0.5602715743668526,0.03716999207042746,-0.1047795616146796
2004-01-31,0.33488027445149887,0.3232266875144983,0.16791944251413168,0.17397359551987115,SPRING,0.03680374877703707,-0.27332129256803367,0.49115215532668366,-0.026564386691908342,-0.27332129256803367
2004-02-29,0.2557580806079909,0.3148908000012991,0.2369210245747619,0.1924300948159481,SUMMER,0.011104852266480503,-0.37851593130654043,0.21337429207565287,0.15599543399815602,-0.37851593130654043
2004-03-31,0.18316223579269766,0.3506479624526068,0.30622963862213287,0.15996016313256264,SUMMER,0.037762780200434665,-0.3544339498990584,0.10158561800749959,0.4870578522789393,-0.3544339498990584
2004-04-30,0.19218922925482543,0.32902448385994865,0.30224149318754256,0.17654479369768336,SUMMER,0.025801898956657188,-0.4352807325399897,0.0636793671593658,0.4032387834859279,-0.4352807325399897
2004-05-31,0.13465617060581925,0.4278213975901921,0.3327803077583589,0.10474212404562978,SUMMER,0.10862711414012283,-0.45422808325128433,0.18841745800698695,0.8669858759476965,-0.45422808325128433
2004-06-30,0.08585033332041628,0.5176072405215654,0.3401286848495584,0.056413741308459976,SUMMER,0.22048513900191757,-0.35996853121295536,0.3149195256579191,1.3474584463537869,-0.35996853121295536
2004-07-31,0.06112623849858963,0.5124521592879869,0.3809778605062136,0.045443741707209814,SUMMER,0.2630976240279107,-0.12482362717050852,0.22234957079542392,1.5946996121994363,-0.12482362717050852
2004-08-31,0.10218629965591242,0.4465309660997592,0.3672414335800914,0.08404130066423698,SUMMER,0.15667306624975752,0.03700334043273412,0.14661694646315435,1.106033352256977,0.03700334043273412
2004-09-30,0.16792291636877302,0.39394267803441074,0.3071906213854594,0.13094378421135686,SUMMER,0.06558530358803505,-0.12631070982998716,0.18655270502104052,0.6395252763911602,-0.12631070982998716
2004-10-31,0.21202436830141205,0.3663622027833435,0.2670588016086439,0.1545546273066005,SUMMER,0.034896702093077714,-0.16292724357967128,0.23711520317953538,0.4101909421890301,-0.16292724357967128
2004-11-30,0.217380727509719,0.43587976027994785,0.23135753391913125,0.11538197829120193,SUMMER,0.0755767218800879,-0.3019770758838868,0.47505160971762866,0.5217870789692669,-0.3019770758838868
2004-12-31,0.14253961701509668,0.4963086842242745,0.28057165381752885,0.08058004494309996,SUMMER,0.14527091236714929,-0.46371023442802833,0.4277767032771159,0.9356835788719489,-0.46371023442802833
2005-01-31,0.14534368150905302,0.46421140906750663,0.29734635042626306,0.09309855899717727,SUMMER,0.12123688350682293,-0.5902453656985263,0.33408183677835035,0.8709291871964118,-0.5902453656985263
2005-02-28,0.18388754895883583,0.41199936371760987,0.2794059263685596,0.12470716095499472,SUMMER,0.06757478334911526,-0.6163358750117671,0.29126711049107423,0.6050230358654187,-0.6163358750117671
2005-03-31,0.21870111008190138,0.35089630516521275,0.26514635193318703,0.16525623281969884,SUMMER,0.026616326759686726,-0.6777732898474479,0.21015660596441404,0.3545885620866485,-0.6777732898474479
2005-04-30,0.23501829890622508,0.30578072173607257,0.25964323441847464,0.1995577449392277,SUMMER,0.008597026387971107,-0.6572835320537571,0.12266980202544453,0.19740365298192156,-0.6572835320537571
2005-05-31,0.20231457473508743,0.30204549086328,0.29682327664101565,0.19881665776061694,SUMMER,0.014223187227001777,-0.6740952742152506,0.01308052835261793,0.3005653884704336,-0.6740952742152506
